"","portname","code","latitude","longitude","iso3"
"2110","Ningbo","CNNGB",29.87347,121.55539,"CHN"
"2111","Kuchinotsu","JPKUC",32.59369,130.17633,"JPN"
"2112","Fukuyama","JPFKY",34.4523,133.44268,"JPN"
"2113","Shimoda","JPSMD",34.67003,138.94886,"JPN"
"2114","Masan","KRMAS",35.19632,128.57469,"KOR"
"2115","Ulsan","KRUSN",35.45739,129.36424,"KOR"
"2116","Kunsan","KRKUV",35.96502,126.5444,NA
"2117","Longkou","CNLKU",37.66873,120.30815,"CHN"
"2118","Maltepe","TRMAL",40.94778,29.10295,NA
"2119","Naantali","FINLI",60.47055,22.01451,"FIN"
"2120","Riohacha","CORCH",11.55311,-72.90777,"COL"
"2121","Raahe","FIRAA",64.66019,24.42115,"FIN"
"2122","Diu","INDIU",20.71907,70.98685,NA
"2123","Jiangmen","CNJMN",22.60356,113.12346,"CHN"
"2124","Eregli","TRELI",41.26814,31.42242,"TUR"
"2125","Dudinka","RUDUD",69.39974,86.16852,"RUS"
"2126","Gilau","PGGIL",-5.491,149.0438,NA
"2127","Kas","TRKAS",36.19824,29.64248,"TUR"
"2128","Veracruz","MXVER",19.20581,-96.13951,"MEX"
"2129","Manaus","BRMAO",-3.15376,-59.99739,"BRA"
"2130","Pertigalete","VEPRG",10.24251,-64.55886,NA
"2131","Puerto Madero","MXPMD",14.70561,-92.39724,"MEX"
"2132","Puerto Vallarta","MXPVR",20.66067,-105.24505,"MEX"
"2133","Kusadasi","TRKUS",37.87016,27.26469,"TUR"
"2134","Zonguldak","TRZON",41.45391,31.78781,"TUR"
"2135","Coronel","CLCNL",-37.02492,-73.16792,"CHL"
"2136","Lota","CLLTA",-37.09771,-73.15953,"CHL"
"2137","Marmaris","TRMRM",36.85311,28.27674,"TUR"
"2138","Quepos","CRXQP",9.42403,-84.1687,"CRI"
"2139","Minatitlan","MXMTT",17.97553,-94.53473,"MEX"
"2140","Izmit","TRIZT",40.76027,29.92893,NA
"2141","Asuncion","PYASU",-25.27472,-57.64373,"PRY"
"2142","Puerto Natales","CLPNT",-51.73735,-72.50031,"CHL"
"2143","Vatomandry","MGVAT",-19.32419,48.98018,"MDG"
"2144","Liverpool","GBLIV",53.46172,-3.02275,"GBR"
"2145","Manchester","GBMNC",53.46689,-2.27518,"GBR"
"2146","Puerto Madryn","ARPMY",-42.7649,-65.03806,"ARG"
"2147","Jaffna","LKJAF",9.65037,80.01957,"LKA"
"2148","Onne","NGONN",4.68388,7.1521,"NGA"
"2149","Padang","IDPDG",-1.00017,100.37084,"IDN"
"2150","Sinabang","IDSNG",2.47859,96.38228,"IDN"
"2151","Banyuwangi","IDBUG",-8.20596,114.38447,NA
"2152","Semarang","IDSRG",-6.9467,110.42515,"IDN"
"2153","Ambon","IDAMQ",-3.6941,128.17627,"IDN"
"2154","Kendari","IDKDI",-3.97245,122.57729,NA
"2155","Manado","IDMDC",1.49881,124.84053,"IDN"
"2156","Sangkulirang","IDSKI",0.98721,117.98446,NA
"2157","Bluefields","NIBEF",12.01143,-83.75968,"NIC"
"2158","Puerto Plata","DOPOP",19.7985,-70.70184,"DOM"
"2159","Mollendo","PEMLQ",-17.03114,-72.01563,"PER"
"2160","Atico","PEATI",-16.23047,-73.61797,NA
"2161","Huarmey","PEHUY",-10.09738,-78.17118,"PER"
"2162","Palmeira","CVPAL",16.75425,-22.98276,"CPV"
"2163","Port Louis","MUPLU",-20.15276,57.49567,"MUS"
"2164","Sao Tome","STTMS",0.3463,6.73686,NA
"2165","Itzehoe","DEITZ",53.92447,9.50073,"DEU"
"2166","Hochdonn","DEHOD",54.01917,9.29617,"DEU"
"2167","Greifswald","DEGRD",54.09729,13.45228,"DEU"
"2168","Whitehaven","GBWHV",54.54851,-3.59131,"GBR"
"2169","Aabenraa","DKAAB",55.03933,9.4267,"DNK"
"2170","Flekkefjord","NOFFD",58.29536,6.65542,"NOR"
"2171","Skaelskor","DKSSK",55.2529,11.28999,"DNK"
"2172","Klaipeda","LTKLJ",55.72878,21.09381,"LTU"
"2173","Ronneby","SERNB",56.17553,15.3016,"SWE"
"2174","Klintehamn","SEKLI",57.38794,18.19327,"SWE"
"2175","Wick","GBWIC",58.43906,-3.08444,"GBR"
"2176","Norrsundet","SENOT",60.94345,17.14199,"SWE"
"2177","Orkanger","NOORK",63.31526,9.84126,"NOR"
"2178","Malm","NOMLM",64.07732,11.23805,"NOR"
"2179","Logstor","DKLGR",56.96705,9.24833,"DNK"
"2180","Guangzhou","CNCAN",23.11757,113.26582,"CHN"
"2181","Port Clinton","USPTT",41.51746,-82.94679,NA
"2182","Racine","USRAC",42.73182,-87.78016,"USA"
"2183","Sarnia","CASNI",42.98537,-82.41284,NA
"2184","Ashland","USASX",46.59293,-90.88477,NA
"2185","Bang Saphan",NA,11.20683,99.57833,"THA"
"2186","Goderich","CAGOH",43.74688,-81.71722,"CAN"
"2187","Kingston","CAKIN",44.2258,-76.48211,"CAN"
"2188","Morgan City","USMGN",29.68953,-91.20152,"USA"
"2189","Kfar Aabida",NA,34.22685,35.65492,NA
"2190","Pensacola","USPNS",30.40444,-87.20986,"USA"
"2191","Roscoff","FRROS",48.72414,-3.98229,"FRA"
"2192","Lokandu",NA,-2.53715,25.75011,"COD"
"2193","Kailenge",NA,-2.25937,25.71753,"COD"
"2194","Brookes Point",NA,8.77353,117.82946,"PHL"
"2195","Benghazi","LYBEN",32.10399,20.03957,NA
"2196","Ranong",NA,9.98089,98.60073,"THA"
"2197","Gretna","USGTL",29.91804,-90.06691,"USA"
"2198","Chicoutimi","CACHI",48.43055,-71.05551,"CAN"
"2199","Carbonear","CACRB",47.73897,-53.22401,"CAN"
"2200","Ishigaki",NA,24.34262,124.15008,"JPN"
"2201","Kowe",NA,-1.65473,25.81564,"COD"
"2202","Brindisi",NA,40.64479,17.96298,"ITA"
"2203","Inverness","GBINV",57.4935,-4.2319,"GBR"
"2204","Blankaholm","SEBLA",57.59004,16.52706,"SWE"
"2205","Stenungsund","SESTE",58.08752,11.81991,"SWE"
"2206","Kristiansand","NOKRS",58.13993,8.0173,"NOR"
"2207","Naxos","GRJNX",37.10751,25.3743,"GRC"
"2208","Porto Garibaldi","ITPGA",44.67715,12.24178,"ITA"
"2209","Split","HRSPU",43.5051,16.44208,"HRV"
"2210","Zadar","HRZAD",44.11751,15.22585,"HRV"
"2211","Sikea","SESIK",64.15876,20.97474,"SWE"
"2212","Molfetta","ITMOL",41.20735,16.58327,"ITA"
"2213","Manfredonia","ITMFR",41.62395,15.91218,NA
"2214","Vasto","ITVSO",42.17199,14.71007,"ITA"
"2215","Corcubion","ESCCN",42.94447,-9.18991,"ESP"
"2216","Kindu",NA,-2.94716,25.92925,"COD"
"2217","Salerno","ITSAL",40.67607,14.75148,NA
"2218","Nantes","FRNTE",47.20643,-1.5681,"FRA"
"2219","Lezardrieux","FRLEZ",48.78996,-3.10029,"FRA"
"2220","Torre Annunziata","ITTOA",40.75364,14.44401,"ITA"
"2221","Marseille","FRMRS",43.30786,5.3643,"FRA"
"2222","Blyth","GBBLY",55.13035,-1.50964,"GBR"
"2223","Perth","GBPER",56.38172,-3.42798,"GBR"
"2224","Tallinn","EETLL",59.44703,24.76385,"EST"
"2225","Skanevik","NOSEI",59.73338,5.93282,"NOR"
"2226","Kuji",NA,40.19425,141.79968,"JPN"
"2227","Bronnoysund","NOBNN",65.47302,12.20713,"NOR"
"2228","Savonlinna","FISVL",61.86785,28.8845,"FIN"
"2229","Bomputu",NA,-0.46736,20.14165,"COD"
"2230","Elila",NA,-2.74199,25.87529,"COD"
"2231","Pweto",NA,-8.48124,28.88247,"COD"
"2232","Bukama",NA,-9.19494,25.85927,"COD"
"2233","Inongo",NA,-1.93269,18.27213,"COD"
"2234","Cua Lo",NA,18.82878,105.71075,"VNM"
"2235","Clayton","USCLY",44.23612,-76.08903,"USA"
"2236","Allen",NA,12.50456,124.28435,"PHL"
"2237","Tabuelan",NA,10.83157,123.87037,"PHL"
"2238","Belo Tsiribihina",NA,-19.71319,44.53906,"MDG"
"2239","Salehy",NA,-19.99193,48.78404,"MDG"
"2240","Marinette","USMOY",45.10008,-87.61848,"USA"
"2241","Vancouver","CAVAN",49.28626,-123.11121,NA
"2242","Cheboygan","USCHG",45.65374,-84.46838,NA
"2243","Elingampangu",NA,-1.9919,24.21444,"COD"
"2244","Besow",NA,-1.17543,20.33703,"COD"
"2245","Bokungu",NA,-0.61676,22.30612,"COD"
"2246","Welland","CAWEL",42.97224,-79.25718,"CAN"
"2247","Baringa",NA,0.7345,20.73645,"COD"
"2248","Isangi",NA,0.78496,24.27285,"COD"
"2249","Bokwankusu",NA,-1.86087,22.7801,"COD"
"2250","Georgetown","CAGGW",46.17942,-62.53708,"CAN"
"2251","Gold River","CAGOL",49.6802,-126.12556,NA
"2252","Valdez","USVDZ",61.12833,-146.3416,NA
"2253","Port Neches","USPON",29.99235,-93.94013,"USA"
"2254","Gramercy","USGRY",30.04747,-90.67904,"USA"
"2255","Reserve","USRSF",30.05543,-90.56522,"USA"
"2256","Geismar","USGSM",30.20453,-91.0288,"USA"
"2257","New Bedford","USEWB",41.63466,-70.92008,NA
"2258","Quincy","USMQI",42.24622,-70.96833,"USA"
"2259","Waddington","USWAD",44.86534,-75.20632,"USA"
"2260","Moncton","CAMNT",46.08856,-64.77247,"CAN"
"2261","Port Orchard","USPXO",47.54227,-122.6368,"USA"
"2262","Ostrica","USOST",29.37368,-89.55241,"USA"
"2263","Martinez","USMRZ",38.02611,-122.12968,"USA"
"2264","Fredericksburg","USFDB",38.29658,-77.4535,"USA"
"2265","Onset","USONL",41.74149,-70.65855,NA
"2266","Sandwich","USSWC",41.77005,-70.50425,"USA"
"2267","Ogdensburg","USOGS",44.70787,-75.48625,"USA"
"2268","Ladysmith","CALAD",48.99936,-123.81905,NA
"2269","Powell River","CAPOW",49.83593,-124.5258,NA
"2270","Aviles","ESAVS",43.58165,-5.92619,"ESP"
"2271","Hopedale","CAHOP",55.46163,-60.20929,"CAN"
"2272","Port Townsend","USTWD",48.11292,-122.76068,"USA"
"2273","Dragor","DKDRA",55.59399,12.67409,"DNK"
"2274","Silloth","GBSIL",54.86685,-3.39243,"GBR"
"2275","Ardrossan","GBARD",55.64036,-4.81729,"GBR"
"2276","Catania","ITCTA",37.49079,15.08962,"ITA"
"2277","Megara","GRMGR",37.98237,23.35346,"GRC"
"2278","Burgas","BGBOJ",42.48834,27.45531,"BGR"
"2279","Venice","ITVCE",45.43857,12.3095,"ITA"
"2280","Ashtabula","USASF",41.90418,-80.79531,"USA"
"2281","Metlakatla","USMTM",55.12893,-131.5816,NA
"2282","Perryville","USPYX",55.89931,-159.16869,"USA"
"2283","Sparrows Point","USSRT",39.21405,-76.49573,"USA"
"2284","Eureka","USEKA",40.79747,-124.18409,"USA"
"2285","Tiverton","USTIV",41.62558,-71.21266,"USA"
"2286","Asilah","MAASI",35.46903,-6.03539,"MAR"
"2287","Sariyer","TRSRY",41.16715,29.05758,NA
"2288","Buatan","IDBUN",0.74603,101.81754,"IDN"
"2289","Holmestrand","NOHOL",59.48844,10.32227,"NOR"
"2290","Hargshamn","SEHAN",60.17305,18.45836,"SWE"
"2291","Fosnavag","NOFOS",62.34258,5.63346,"NOR"
"2292","Munksund","SEMUN",65.28135,21.48836,"SWE"
"2293","Narvik","NONVK",68.43075,17.42036,"NOR"
"2294","Ravenna","ITRAN",44.4862,12.28249,"ITA"
"2295","Bassens","FRBAS",44.9072,-0.53829,"FRA"
"2296","Vannes","FRVNE",47.63786,-2.76221,"FRA"
"2297","Southampton","GBSOU",50.90834,-1.45426,"GBR"
"2298","Bideford","GBBID",51.01939,-4.204,"GBR"
"2299","North Woolwich","GBWOL",51.49851,0.05981,"GBR"
"2300","Moerdijk","NLMOE",51.6902,4.5987,"NLD"
"2301","Colchester","GBCOL",51.88354,0.92701,"GBR"
"2302","Vlaardingen","NLVLA",51.89793,4.3243,"NLD"
"2303","Rotterdam","NLRTM",51.88811,4.45693,"NLD"
"2304","Zaandam","NLZAA",52.43067,4.81971,"NLD"
"2305","Wisbech","GBWIS",52.67812,0.15407,"GBR"
"2306","Den Helder","NLDHR",52.96166,4.77793,"NLD"
"2307","Mega","JPHIM",34.77547,134.69146,"JPN"
"2308","Dublin","IEDUB",53.35255,-6.20865,"IRL"
"2309","Agadir","MAAGA",30.42864,-9.64076,"MAR"
"2310","Niihama","JPIHA",33.97408,133.28172,"JPN"
"2311","Shimotsu","JPSMT",34.1107,135.14398,"JPN"
"2312","Nasugbu","PHNUG",14.07678,120.62445,"PHL"
"2313","Mohammedia","MAMOH",33.71771,-7.39929,"MAR"
"2314","Kanokawa","JPKKW",34.19181,132.44311,"JPN"
"2315","Larache","MALAR",35.19983,-6.15155,"MAR"
"2316","Abau","PGABW",-10.16992,148.56418,"PNG"
"2317","Greymouth","NZGMN",-42.44697,171.20085,"NZL"
"2318","Kaikoura","NZKBZ",-42.42527,173.68255,NA
"2319","Devonport","AUDPO",-41.18178,146.36306,"AUS"
"2320","Tutoia","BRTUT",-2.76476,-42.27353,"BRA"
"2321","Port Dickson","MYPDI",2.52218,101.80015,"MYS"
"2322","Tawau","MYTWU",4.24386,117.88075,"MYS"
"2323","Gingoog","PHGIN",8.82968,125.09984,NA
"2324","Catia La Mar","VECLM",10.61085,-67.0303,NA
"2325","Tellicherry","INTEL",11.74577,75.4894,"IND"
"2326","Imari","JPIMI",33.30278,129.81926,"JPN"
"2327","Kyrenia","CYKYR",35.34059,33.33104,NA
"2328","Kholmsk","RUKHO",47.04691,142.04435,"RUS"
"2329","Tolkkinen","FITOK",60.33694,25.58725,"FIN"
"2330","Kandalaksha","RUKAN",67.13692,32.40783,"RUS"
"2331","Wairoa","NZWIR",-39.03181,177.42912,"NZL"
"2332","Geelong","AUGEX",-38.14365,144.35681,"AUS"
"2333","Opua","NZOPX",-35.31457,174.1202,NA
"2334","Kouaoua","NCKOU",-21.39861,165.83229,NA
"2335","Dampier","AUDAM",-20.66442,116.70487,"AUS"
"2336","Moengo","SRMOJ",5.62677,-54.40773,"SUR"
"2337","Saganoseki","JPSAG",33.24975,131.86492,"JPN"
"2338","Onomichi","JPONO",34.4088,133.20448,"JPN"
"2339","Gamagori","JPGAM",34.81871,137.21963,"JPN"
"2340","Slavyanka","RUSKA",42.86488,131.3913,"RUS"
"2341","Cooktown","AUCTN",-15.458,145.25179,"AUS"
"2342","Areia Branca","BRARE",-4.94875,-37.13606,"BRA"
"2343","Lumut","MYLUM",4.23552,100.60863,"MYS"
"2344","Dungun","MYDGN",4.77737,103.42488,"MYS"
"2345","Weston","MYWES",5.21733,115.60037,"MYS"
"2346","Turiamo","VETUR",10.44329,-67.84498,NA
"2347","Shingu","JPSHN",33.7262,136.00359,"JPN"
"2348","Owase","JPOWA",34.06987,136.20423,"JPN"
"2349","Izuhara","JPIZH",34.19018,129.29032,"JPN"
"2350","Hagi","JPHAG",34.42028,131.40322,"JPN"
"2351","Changhang","KRCHG",35.97559,126.63018,NA
"2352","Shakhtersk","RUSHA",49.16146,142.05652,"RUS"
"2353","De-Kastri","RUDKA",51.47001,140.77962,"RUS"
"2354","Murmansk","RUMMK",68.97813,33.0563,"RUS"
"2355","Ciudad Guayana","VECGU",8.37685,-62.65897,"VEN"
"2356","Huangshi","CNHSI",30.22647,115.07957,"CHN"
"2357","Tianjin","CNTSN",39.13367,117.18866,"CHN"
"2358","Salvador","BRSSA",-12.95829,-38.50656,NA
"2359","San Juan","PRSJU",18.43248,-66.09609,"PRI"
"2360","Montevideo","UYMVD",-34.89977,-56.1958,"URY"
"2361","Recife","BRREC",-8.04912,-34.87441,"BRA"
"2362","Georgetown","GYGEO",6.80793,-58.16898,"GUY"
"2363","Corumba","BRCMG",-18.99644,-57.65635,"BRA"
"2364","Charlestown","KNNEV",17.1389,-62.62997,"KNA"
"2365","Fray Bentos","UYFZB",-33.11248,-58.31026,"URY"
"2366","Chanaral","CLCNR",-26.35234,-70.6368,"CHL"
"2367","Point Fortin","TTPTF",10.17543,-61.6833,"TTO"
"2368","Sorong","IDSOQ",-0.87802,131.24612,"IDN"
"2369","Labuha","IDLAH",-0.62884,127.47934,"IDN"
"2370","Caibarien","CUCAI",22.52696,-79.46927,"CUB"
"2371","San Nicolas","PESNX",-15.25787,-75.24226,NA
"2372","Puerto La Cruz","VEPCZ",10.21357,-64.64737,NA
"2373","Rabigh","SARAB",22.73618,39.01778,"SAU"
"2374","Puerto Williams","CLWPU",-54.93333,-67.60803,"CHL"
"2375","Dikili","TRDIK",39.07053,26.88805,"TUR"
"2376","Trincomalee","LKTRR",8.56691,81.1962,"LKA"
"2377","San Julian","ARULA",-49.30068,-67.72109,"ARG"
"2378","Morombe","MGMXM",-21.74235,43.35861,NA
"2379","Guanaja","HNGJA",16.45589,-85.87695,NA
"2380","San Sebastian","ARSSN",-53.29959,-68.45085,"ARG"
"2381","Mejillones","CLMJS",-23.08887,-70.41571,"CHL"
"2382","Puerto Armuelles","PAAML",8.27093,-82.85914,NA
"2383","Abadan","IRABD",30.33011,48.2824,"IRN"
"2384","Pangai","TOPAN",-19.80312,-174.35141,"TON"
"2385","Bolama","GWBOL",11.57904,-15.47242,NA
"2386","Preston","GBPRE",53.75994,-2.72882,"GBR"
"2387","Rendsburg","DEREN",54.31081,9.69686,"DEU"
"2388","Gdynia","PLGDY",54.52946,18.54462,"POL"
"2389","Gateshead","GBGAT",54.96347,-1.56813,"GBR"
"2390","Dumfries","GBDUM",55.06352,-3.60899,"GBR"
"2391","Rosyth","GBROY",56.02521,-3.43977,"GBR"
"2392","Inverkeithing","GBINK",56.02343,-3.39665,"GBR"
"2393","Kirkcaldy","GBKKD",56.11903,-3.1511,"GBR"
"2394","Degerhamn","SEDEG",56.35335,16.41686,"SWE"
"2395","Halmstad","SEHAD",56.66072,12.8561,"SWE"
"2396","Tvedestrand","NOTVE",58.62104,8.93226,"NOR"
"2397","Skien","NOSKE",59.20246,9.61513,"NOR"
"2398","Molde","NOMOL",62.73507,7.15724,"NOR"
"2399","Kramfors","SEKRF",62.93806,17.7835,"SWE"
"2400","Colon","PAONX",9.35323,-79.906,"PAN"
"2401","Sandusky","USSDY",41.45712,-82.71517,NA
"2402","Tolu","COTLU",9.52177,-75.58649,NA
"2403","Surabaya","IDSUB",-7.20203,112.73319,NA
"2404","Gresik","IDGRE",-7.14449,112.65108,NA
"2405","Maumere","IDMOF",-8.61517,122.2189,NA
"2406","Manokwari","IDMKW",-0.86727,134.07484,NA
"2407","Tarakan","IDTRK",3.28409,117.59558,"IDN"
"2408","Pontianak","IDPNK",-0.01847,109.33552,"IDN"
"2409","Manta","ECMEC",-0.9388,-80.72627,"ECU"
"2410","Sanchez","DOSNZ",19.22557,-69.61544,"DOM"
"2411","Chancay","PECHY",-11.58362,-77.27095,"PER"
"2412","Pimentel","PEPMT",-6.83645,-79.93761,NA
"2413","Cape Vincent","USCVI",44.12997,-76.33527,"USA"
"2414","Basco",NA,20.44783,121.96719,NA
"2415","Key West","USEYW",24.55037,-81.80799,"USA"
"2416","South Haven","USSOH",42.40641,-86.27335,NA
"2417","Jagna",NA,9.64944,124.36651,"PHL"
"2418","Mbandaka",NA,0.06343,18.26033,"COD"
"2419","Ubundu",NA,-0.36945,25.4334,"COD"
"2420","Bumba",NA,2.17733,22.45899,"COD"
"2421","Lomela",NA,-2.31251,23.36511,"COD"
"2422","Bekungu",NA,-2.24795,19.27594,"COD"
"2423","Myrtle Grove","USMYG",29.63222,-89.95171,"USA"
"2424","Neah Bay","USNEB",48.36624,-124.61086,"USA"
"2425","Port San Luis","USPSL",35.17231,-120.75622,NA
"2426","Rhyl","GBRHY",53.32383,-3.49119,"GBR"
"2427","Peterhead","GBPHD",57.49191,-1.78916,"GBR"
"2428","Amalfi","ITAMA",40.63311,14.60151,NA
"2429","Golfo Aranci","ITGAI",40.99564,9.62456,NA
"2430","Wolgast","DEWOL",54.05005,13.78264,"DEU"
"2431","Oregrund","SEOGR",60.34042,18.4418,"SWE"
"2432","Calbayog",NA,12.066,124.5922,"PHL"
"2433","Malembe",NA,-4.3586,20.57477,"COD"
"2434","Bongandanga",NA,1.52196,21.06755,"COD"
"2435","Chupanga",NA,-18.02692,35.60889,"MOZ"
"2436","Cascais","PTCAS",38.69237,-9.4194,"PRT"
"2437","Bagata",NA,-3.7336,17.95229,"COD"
"2438","Bastad","SEBAS",56.43143,12.84202,"SWE"
"2439","Arboga","SEARA",59.39356,15.8476,"SWE"
"2440","Otsuchi",NA,39.35513,141.91332,"JPN"
"2441","Skelleftea","SESFT",64.74832,20.95371,"SWE"
"2442","Finnsnes","NOFNE",69.23029,17.9768,"NOR"
"2443","Charre",NA,-17.3296,35.15506,"MOZ"
"2444","Bolondo",NA,-0.30739,21.35305,"COD"
"2445","Markala",NA,13.67612,-6.07848,"MLI"
"2446","Mananjary","MGMNJ",-21.24205,48.34597,"MDG"
"2447","Cam Pha","VNCPH",21.00587,107.3483,"VNM"
"2448","Anakitaina",NA,-21.51734,48.26375,"MDG"
"2449","Aketi",NA,2.72958,23.78501,"COD"
"2450","Moliro",NA,-8.2333,30.57615,"COD"
"2451","Namorona",NA,-21.63823,48.18456,"MDG"
"2452","Berevo",NA,-19.72579,44.96109,"MDG"
"2453","Skadovsk","UASKD",46.10741,32.90973,NA
"2454","Sorsogon",NA,12.96664,124.00406,NA
"2455","Honiara","SBHIR",-9.42726,159.95921,"SLB"
"2456","Gaza",NA,31.52247,34.43192,"PSE"
"2457","Port Stanley","FKPSY",-51.69963,-57.82583,"FLK"
"2458","Bata","GQBSG",1.82693,9.74353,"GNQ"
"2459","Borj Islam",NA,35.68174,35.79058,"SYR"
"2460","Tanjong Penjuru","SGTPN",1.30155,103.74224,"SGP"
"2461","Sovetskaya Gavan","RUSOG",48.97846,140.28577,"RUS"
"2462","Degrad Des Cannes","GFDDC",4.85372,-52.27349,"GUF"
"2463","Guiria","VEGUI",10.56972,-62.29635,"VEN"
"2464","San Marcos Island","MXSMI",27.19138,-112.08339,NA
"2465","Tanjung Pandan","IDTJQ",-2.74522,107.63021,"IDN"
"2466","Sodertalje","SESOE",59.20257,17.62425,"SWE"
"2467","Pine Island","USPNI",26.49165,-82.08518,NA
"2468","Masindi",NA,1.69504,32.09256,"UGA"
"2469","Port St Joe","USPSJ",29.81494,-85.30893,NA
"2470","Tiko","CMTKC",4.06584,9.39347,"CMR"
"2471","Garoua","CMGOU",9.29344,13.40313,"CMR"
"2472","Gustavia","GPGUS",17.89928,-62.85026,"GLP"
"2473","Mokha","YEMOK",13.31009,43.2367,NA
"2474","Bataan","PHBTN",14.43703,120.50023,"PHL"
"2475","St Michiels Bay","ANSMB",12.1481,-68.99892,"ANT"
"2476","Fangcheng","CNFAN",21.59596,108.39265,"CHN"
"2477","Port Qaboos","OMOPQ",23.62772,58.56664,"OMN"
"2478","Libreville","GALBV",0.40435,9.43755,"GAB"
"2479","Owendo","GAOWE",0.28722,9.50772,"GAB"
"2480","Rosas","ESROS",42.2571,3.18117,"ESP"
"2481","Mersa Matruh",NA,31.3566,27.2343,"EGY"
"2482","Malahayati",NA,5.59625,95.52619,"IDN"
"2483","Lhokseumawe","IDLSW",5.16986,97.14627,"IDN"
"2484","Gilimanuk","IDGIL",-8.16133,114.43743,NA
"2485","Padangbai",NA,-8.53394,115.5086,"IDN"
"2486","Ango-Ango","CDANG",-5.84406,13.43336,"COD"
"2487","Isabela De Sagua","CUIDS",22.94454,-80.00915,NA
"2488","Tunas De Zaza","CUTDZ",21.63341,-79.55109,"CUB"
"2489","General San Martin","PEGSM",-13.80195,-76.29212,NA
"2490","Ambila Lemaitso",NA,-18.84178,49.15273,"MDG"
"2491","Vohitramposina",NA,-19.15497,49.01666,"MDG"
"2492","Port Bouet","CIPBT",5.25416,-3.99992,"CIV"
"2493","Naluuyan",NA,10.77581,122.70814,NA
"2494","Ghent","BEGNE",51.08141,3.73429,"BEL"
"2495","Ikoko-Mutaka",NA,-0.97304,18.12962,"COD"
"2496","Imbanga",NA,-0.81996,19.78671,"COD"
"2497","St John","CASJB",45.2622,-66.06647,"CAN"
"2498","Mont Louis","CAMOL",49.22577,-65.7284,"CAN"
"2499","Mellville","USMVI",41.58749,-71.28489,"USA"
"2500","Doornzelle","BEDOE",51.15092,3.77779,"BEL"
"2501","Angra Dos Reis","BRADR",-23.01014,-44.31715,"BRA"
"2502","Imam Hasan","IRIMH",29.84135,50.25077,"IRN"
"2503","Fanara","EGFAN",30.27785,32.39074,"EGY"
"2504","Campo","CMCMO",2.33995,9.82514,"GNQ"
"2505","Sika","INSIK",22.43122,69.82723,"IND"
"2506","Matsue","JPMTE",35.46685,133.06121,"JPN"
"2507","San Fernando De Apure","VESFD",7.88213,-67.4357,"VEN"
"2508","Kalamansig",NA,6.55228,124.05041,"PHL"
"2509","Port Of Spain","TTPOS",10.65627,-61.52481,"TTO"
"2510","Basse Terre","GPBBR",15.9968,-61.73232,"GLP"
"2511","Georgetown","KYGEC",19.29553,-81.38371,"CYM"
"2512","Laem Chabang","THLCH",13.06917,100.90117,"THA"
"2513","Khor Al Fakkan","AEKLF",25.348,56.36605,"ARE"
"2514","Nukualofa","TOTBU",-21.13805,-175.17952,NA
"2515","Pladju","IDPLA",-2.98837,104.83946,"IDN"
"2516","Loviisa","FILOV",60.45163,26.23457,"FIN"
"2517","Sault Ste Marie","CASSM",46.51652,-84.37111,"CAN"
"2518","Stephenville","CAYJT",48.50018,-58.43916,"CAN"
"2519","Norfolk-Newport News","USNEN",36.97295,-76.43,"USA"
"2520","Wenge",NA,1.14096,19.25644,"COD"
"2521","L'Ile Rousse","FRILR",42.64179,8.93749,"FRA"
"2522","Gunung Sitoli",NA,1.3059,97.60955,NA
"2523","Kungsor","SEKGR",59.42942,16.10494,"SWE"
"2524","Bepumba",NA,-0.39328,19.09396,"COD"
"2525","Jounie",NA,33.98615,35.61585,NA
"2526","Oktyabrsk","UAOCT",46.83687,31.95346,"UKR"
"2527","Port Gentil","GAPOG",-0.71496,8.78451,"GAB"
"2528","San Carlos De La Rapita","ESSCR",40.61742,0.5943,"ESP"
"2529","Celukan Bawang","IDCEB",-8.18848,114.83218,NA
"2530","Rio Haina","DOHAI",18.42218,-70.01187,"DOM"
"2531","Limune",NA,1.0933,22.7913,"COD"
"2532","Losambo",NA,1.10898,19.08312,"COD"
"2533","El Arish",NA,31.15312,33.82884,NA
"2534","Vinaroz","ESVZR",40.46597,0.46765,"ESP"
"2535","Stylis","GRSYS",38.91218,22.61566,"GRC"
"2536","Morbylanga","SEMOR",56.52688,16.38184,"SWE"
"2537","Ilyichevsk","UAILK",46.31461,30.66402,"UKR"
"2538","Anevoranto",NA,-18.96114,49.10644,"MDG"
"2539","Ciudad Del Carmen","MXCME",18.64803,-91.8449,"MEX"
"2540","Cagayan De Oro","PHCGY",8.49515,124.66258,"PHL"
"2541","San Pedro","CISPY",4.73874,-6.61915,"CIV"
"2542","Rogers","USRJM",45.42247,-83.8124,NA
"2543","Kismayu",NA,-0.38246,42.5528,"SOM"
"2544","Bandar Taheri",NA,27.66054,52.35126,NA
"2545","Macina",NA,13.95951,-5.36361,"MLI"
"2546","Hornefors","SEHNF",63.61047,19.90304,"SWE"
"2547","Lanshan","CNLSN",35.10049,119.36292,"CHN"
"2548","Chikoma",NA,-2.09503,29.04161,"COD"
"2549","Sevastopol","UASVP",44.61475,33.50764,"UKR"
"2550","Berdyansk","UAERD",46.7537,36.77623,"UKR"
"2551","Izmail","UAIZM",45.32231,28.85054,"ROU"
"2552","Evpatoria",NA,45.18809,33.37369,"UKR"
"2553","Feodosia",NA,45.02829,35.38767,NA
"2554","N'Gongo",NA,-4.40006,17.70179,"COD"
