"","portname","code","latitude","longitude","iso3"
"1789","Burutu","NGBUR",5.35299,5.50106,"NGA"
"1790","Bellingham","USBLI",48.75328,-122.49021,NA
"1791","Hampden","CAHMP",49.54358,-56.85597,"CAN"
"1792","Baie Verte","CABVE",49.94341,-56.17899,NA
"1793","Jedway","CAJED",52.30178,-131.21797,"CAN"
"1794","Skagway","USSGY",59.44984,-135.3235,NA
"1795","Whittier","USWQF",60.77646,-148.68474,"USA"
"1796","Newport Beach","USJNP",33.60264,-117.89969,"USA"
"1797","Cockenzie","GBCNZ",55.97214,-2.9549,"GBR"
"1798","Lochaline","GBLOL",56.53884,-5.77492,"GBR"
"1799","Ermioni","GRERM",37.38544,23.24928,"GRC"
"1800","Alicante","ESALC",38.33734,-0.48776,"ESP"
"1801","Benidorm","ESBEM",38.53468,-0.13237,"ESP"
"1802","Dun Laoghaire","IEDLG",53.29533,-6.13466,"IRL"
"1803","Thisted","DKTED",56.95323,8.69594,"DNK"
"1804","Kopervik","NOKOP",59.28418,5.31483,"NOR"
"1805","Erie","USERI",42.13362,-80.09392,NA
"1806","Forestville","CAFRV",48.74034,-69.05309,NA
"1807","Port Nolloth","ZANOL",-29.25648,16.86865,"ZAF"
"1808","Arzew","DZAZW",35.85318,-0.30927,"DZA"
"1809","Nishinomiya","JPNYA",34.72673,135.34622,"JPN"
"1810","Beykoz","TRBEY",41.13453,29.09164,NA
"1811","Mannar","LKMAN",8.97576,79.91474,"LKA"
"1812","Larkollen","NOLRK",59.3283,10.66998,"NOR"
"1813","Workington","GBWOR",54.64929,-3.56553,"GBR"
"1814","Rasa","HRRAS",45.04008,14.04983,"HRV"
"1815","Brightlingsea","GBBLS",51.80546,1.02512,"GBR"
"1816","Schiedam","NLSCI",51.90461,4.41253,"NLD"
"1817","Boston","GBBOS",52.96806,-0.01734,"GBR"
"1818","Papenburg","DEPAP",53.09402,7.37205,"DEU"
"1819","Eastham","GBEAM",53.32117,-2.95327,"GBR"
"1820","Gainsborough","GBGAI",53.39548,-0.77643,"GBR"
"1821","Casablanca","MACAS",33.60297,-7.59609,"MAR"
"1822","Iwakuni","JPIWK",34.17367,132.24187,"JPN"
"1823","Richards Bay","ZARCB",-28.78947,32.04994,"ZAF"
"1824","Cabinda","AOCAB",-5.54986,12.19319,"AGO"
"1825","Tufi","PGTFI",-9.0804,149.3161,"PNG"
"1826","Salamaua","PGSMU",-7.05588,147.04798,NA
"1827","Rio Gallegos","ARRGL",-51.61278,-69.21818,"ARG"
"1828","Invercargill","NZIVC",-46.41515,168.33785,NA
"1829","Burnie","AUBWT",-41.0546,145.90797,"AUS"
"1830","Port Latta","AUPLA",-40.85343,145.38087,"AUS"
"1831","Numazu","JPNUM",35.08305,138.86094,"JPN"
"1832","Cabedelo","BRCDO",-6.97757,-34.83496,"BRA"
"1833","Lahad Datu","MYLDU",5.0203,118.34969,"MYS"
"1834","Sipitang","MYSPT",5.06726,115.54321,"MYS"
"1835","Culion","PHCUJ",11.8947,120.01966,"PHL"
"1836","Nantong","CNNTG",31.99965,120.82805,"CHN"
"1837","Nagahama","JPNGH",33.61692,132.49198,"JPN"
"1838","Larnaca","CYLCA",34.92302,33.64092,"CYP"
"1839","Famagusta","CYFMG",35.13087,33.93946,"CYP"
"1840","Uglegorsk","RUUGL",49.06015,142.03047,"RUS"
"1841","Severodvinsk","RUSEW",64.57942,39.80988,"RUS"
"1842","Akita","JPAXT",39.73988,140.06848,"JPN"
"1843","Nepoui","NCNEP",-21.33265,164.99385,NA
"1844","Sukumo","JPSUK",32.92134,132.69798,"JPN"
"1845","Takehara","JPTHR",34.33262,132.91721,"JPN"
"1846","Antalya","TRAYT",36.88332,30.70299,NA
"1847","Wanganui","NZWAG",-39.94639,175.00067,"NZL"
"1848","Ube","JPUBJ",33.93671,131.23692,"JPN"
"1849","Weipa","AUWEI",-12.62069,141.87794,"AUS"
"1850","Natal","BRNAT",-5.78922,-35.2168,"BRA"
"1851","Dumaguete","PHDGT",9.31297,123.31026,"PHL"
"1852","El Palito","VEELP",10.48826,-68.12282,NA
"1853","Vengurla","INVEN",15.85652,73.62238,"IND"
"1854","Xiamen","CNXMN",24.46042,118.06714,"CHN"
"1855","Ismailia","EGISM",30.58672,32.26888,"EGY"
"1856","Ise","JPISE",34.52117,136.74269,"JPN"
"1857","Amagasaki","JPAMA",34.7034,135.39779,"JPN"
"1858","Eceabat","TRECE",40.18429,26.36012,"TUR"
"1859","Veraval","INVVA",20.90134,70.36949,"IND"
"1860","Surat","INSTV",21.07929,72.63587,NA
"1861","Kartal","TRKAR",40.88715,29.18964,NA
"1862","Amasra","TRAMA",41.74558,32.38736,"TUR"
"1863","Vyborg","RUVYG",60.69542,28.74862,"RUS"
"1864","Gualeguaychu","ARGHU",-33.01582,-58.50382,"ARG"
"1865","Shanghai","CNSHA",31.22847,121.49627,"CHN"
"1866","Wuzhou","CNWUZ",23.46946,111.33819,"CHN"
"1867","Igarka","RUIAA",67.4579,86.55844,"RUS"
"1868","Coquimbo","CLCQQ",-29.95781,-71.33541,"CHL"
"1869","Trujillo","PETRU",-8.07882,-79.12117,"PER"
"1870","Zorritos","PEZOR",-3.66759,-80.65406,"PER"
"1871","Ensenada","MXESE",31.85753,-116.63307,"MEX"
"1872","Gemlik","TRGEM",40.42269,29.15261,"TUR"
"1873","Huasco","CLHSO",-28.47165,-71.24253,"CHL"
"1874","Kingston","JMKIN",17.98213,-76.8242,"JAM"
"1875","Maroantsetra","MGWMN",-15.43884,49.74049,"MDG"
"1876","El Guamache","VEEGU",10.8954,-64.06821,"VEN"
"1877","Frontera","MXFRN",18.53127,-92.65445,"MEX"
"1878","Salto","UYSTY",-31.38609,-57.97633,"URY"
"1879","Giresun","TRGIR",40.92222,38.38656,NA
"1880","Trabzon","TRTZX",41.00331,39.73714,"TUR"
"1881","Amuay","VEAMY",11.79621,-70.25512,NA
"1882","Castries","LCSLU",14.01029,-60.9939,"LCA"
"1883","La Ceiba","HNLCE",15.79556,-86.76215,NA
"1884","Tela","HNTEA",15.78159,-87.45888,NA
"1885","Partington","GBPTT",53.42608,-2.42344,"GBR"
"1886","Tekirdag","TRTEK",40.96587,27.50264,"TUR"
"1887","Posadas","ARPSS",-27.35399,-55.91408,"ARG"
"1888","Formosa","ARFMA",-26.18157,-58.16326,"ARG"
"1889","San Pedro","ARXPD",-33.68589,-59.64063,"ARG"
"1890","Punta Arenas","CLPUQ",-53.12392,-70.86929,"CHL"
"1891","Amapala","HNAMP",13.29434,-87.6527,NA
"1892","Cayenne","GFCAY",4.93581,-52.33652,"GUF"
"1893","Villa Constitucion","ARVCN",-33.22637,-60.32195,"ARG"
"1894","Paysandu","UYPDU",-32.31613,-58.10387,"URY"
"1895","Madang","PGMAG",-5.21118,145.80305,NA
"1896","Haifa","ILHFA",32.81338,35.01136,"ISR"
"1897","Damietta","EGDAM",31.45161,31.76729,"EGY"
"1898","Port Moresby","PGPOM",-9.46418,147.15492,NA
"1899","Phnom Penh","KHPNH",11.55954,104.93739,"KHM"
"1900","Manggar","IDMAN",-2.84891,108.28992,NA
"1901","Neiafu","TONEI",-18.65199,-173.98513,"TON"
"1902","Barranquilla","COBAQ",10.96288,-74.75962,"COL"
"1903","Tegal","IDTEG",-6.84997,109.12879,"IDN"
"1904","Jayapura","IDDJJ",-2.54543,140.71354,"IDN"
"1905","Bula","IDBUA",-3.10408,130.50113,"IDN"
"1906","Poso","IDPSJ",-1.38242,120.75516,"IDN"
"1907","Nuevitas","CUNVT",21.53704,-77.26522,"CUB"
"1908","Huacho","PEHCO",-11.12379,-77.61603,"PER"
"1909","Chimbote","PECHM",-9.07507,-78.60699,"PER"
"1910","Puerto Chicama","PEPCH",-7.69523,-79.43635,NA
"1911","Praia","CVRAI",14.91202,-23.50009,"CPV"
"1912","Tel Aviv","ILJFA",32.10312,34.77766,"ISR"
"1913","Saltpond","GHSPD",5.20022,-1.05315,"GHA"
"1914","Sekondi","GHSEK",4.93686,-1.70708,NA
"1915","Sfax","TNSFA",34.7251,10.76379,NA
"1916","Moroni","KMYVA",-11.70483,43.2477,"COM"
"1917","Port Kaiser","JMPKS",17.8624,-77.60413,"JAM"
"1918","Oran","DZORN",35.70886,-0.64202,"DZA"
"1919","Dundalk","IEDDK",54.00675,-6.35361,"IRL"
"1920","Grossenbrode","DEGRO",54.36033,11.0695,"DEU"
"1921","Sassandra","CIZSS",4.9522,-6.08253,"CIV"
"1922","Campbeltown","GBCBT",55.42348,-5.6004,"GBR"
"1923","Port Ellen","GBPLN",55.62807,-6.18848,"GBR"
"1924","Skaerbaek","DKSKB",55.51426,9.61686,"DNK"
"1925","Borgholm","SEBOM",56.87937,16.64954,"SWE"
"1926","Grimstad","NOGTD",58.33768,8.59372,"NOR"
"1927","Larvik","NOLAR",59.04079,10.04807,"NOR"
"1928","Stockholm","SESTO",59.33005,18.07919,"SWE"
"1929","Lappohja","FILAP",59.90301,23.26353,"FIN"
"1930","Trondheim","NOTRD",63.44021,10.40702,"NOR"
"1931","Sarafand",NA,33.45288,35.28596,NA
"1932","Port Maitland","CAPTM",42.86457,-79.57315,"CAN"
"1933","Buffalo","USBUF",42.87936,-78.88388,"USA"
"1934","El Ouzaai",NA,33.84337,35.48366,NA
"1935","Dbaiye",NA,33.92898,35.58605,NA
"1936","Moba",NA,-7.03112,29.76576,"COD"
"1937","Toronto","CATOR",43.64082,-79.35304,"CAN"
"1938","Halat",NA,34.09131,35.64935,NA
"1939","Santa Barbara","USSBA",34.40744,-119.69353,"USA"
"1940","Alexandria","EGALY",31.19534,29.88146,"EGY"
"1941","Nioki",NA,-2.73686,17.68655,"COD"
"1942","Virac",NA,13.58185,124.23399,NA
"1943","Zarzis",NA,33.48321,11.11259,"TUN"
"1944","Balykchy",NA,42.4533,76.20995,"KGZ"
"1945","Tadoussac","CATAD",48.14088,-69.72972,"CAN"
"1946","Palm Beach","USPAB",26.76459,-80.05172,"USA"
"1947","Wilmington","USWTN",33.77713,-118.2401,"USA"
"1948","Jinja",NA,0.41425,33.20761,"UGA"
"1949","Nishinoomote",NA,30.73033,130.99301,"JPN"
"1950","Chiang Saen",NA,20.26754,100.08984,"THA"
"1951","La Spezia",NA,44.10148,9.81724,"ITA"
"1952","Wexford","IEWEX",52.33545,-6.45707,"IRL"
"1953","Kaolack","SNKLC",14.13143,-16.08068,"SEN"
"1954","Valencia","ESVLC",39.45913,-0.323,NA
"1955","Capraia","ITCPA",43.0494,9.8357,"ITA"
"1956","Stocka","SESTA",61.89488,17.34568,"SWE"
"1957","Nea Karvali","GRNKV",40.95813,24.50737,"GRC"
"1958","Barcelona","ESBCN",41.37582,2.18331,"ESP"
"1959","Ajaccio","FRAJA",41.92383,8.73971,"FRA"
"1960","Mulongo",NA,-7.84474,26.99662,"COD"
"1961","Quimper","FRUIP",47.99029,-4.1113,"FRA"
"1962","Dinga",NA,-5.30845,16.53898,"COD"
"1963","Lusanga",NA,-4.83768,18.73316,"COD"
"1964","Djombo",NA,1.34577,20.38172,"COD"
"1965","Marromeu",NA,-18.2869,35.94757,"MOZ"
"1966","Skopelos","GRSKO",39.12081,23.73015,"GRC"
"1967","Yerakini","GRYER",40.27652,23.44179,"GRC"
"1968","Portland","GBPTL",50.56902,-2.43906,"GBR"
"1969","Tonsberg","NOTON",59.26088,10.4213,"NOR"
"1970","Lidkoping","SELDK",58.50778,13.16428,"SWE"
"1971","Hafnarfjordur","ISHAF",64.06709,-21.98009,NA
"1972","Brunsbuttel","DEBRB",53.91529,9.18917,"DEU"
"1973","Isambo",NA,-0.36642,21.48222,"COD"
"1974","Ed Daoura",NA,33.89927,35.5578,"LBN"
"1975","Aka",NA,15.40052,-4.23634,"MLI"
"1976","Hue","VNHUI",16.49739,107.58781,"VNM"
"1977","Georgetown","SHASI",-7.92565,-14.4133,"SHN"
"1978","Manangareza",NA,-18.16637,49.4083,"MDG"
"1979","Sondrara",NA,-19.06499,49.06075,"MDG"
"1980","Ambodiharina",NA,-20.00765,48.77044,"MDG"
"1981","Ambodisaina",NA,-20.52665,48.4907,"MDG"
"1982","Halifax","CAHAL",44.63246,-63.5677,NA
"1983","Aparri","PHAPR",18.36124,121.62959,"PHL"
"1984","Yambinga",NA,2.12262,22.60593,"COD"
"1985","Samarai","PGSQT",-10.60964,150.66236,NA
"1986","Bokakata",NA,1.27275,19.55675,"COD"
"1987","Ikela",NA,-1.05472,23.3563,"COD"
"1988","Kalonda",NA,-4.79129,17.54151,"COD"
"1989","Kimbao",NA,-5.11297,17.6421,"COD"
"1990","Oshwe",NA,-3.41465,19.43874,"COD"
"1991","Collingwood","CACOL",44.50488,-80.21557,NA
"1992","Mackinac Island","USMCD",45.84962,-84.61757,"USA"
"1993","Superior","USSUW",46.69137,-92.02315,"USA"
"1994","Muskegon","USMKG",43.219,-86.28928,"USA"
"1995","Marathon","CAMAR",48.72059,-86.39675,NA
"1996","Puerto Suarez","BOPSZ",-18.96014,-57.79452,"BOL"
"1997","Busira",NA,-0.19823,19.98121,"COD"
"1998","Mampoko",NA,0.86449,18.67117,"COD"
"1999","Ekuta",NA,2.99451,18.69835,"COD"
"2000","Pono",NA,-3.60529,17.74418,"COD"
"2001","Kinyezire",NA,-1.85917,28.99155,"COD"
"2002","North Weymouth","USNWY",42.25582,-70.9261,NA
"2003","Masbate","PHMBT",12.36842,123.61672,NA
"2004","Lunenburg","CALUN",44.37604,-64.30778,"CAN"
"2005","Port Alice","CAPAC",50.42305,-127.48454,"CAN"
"2006","Port Edward","CAPTE",54.22784,-130.29402,NA
"2007","Wrangell","USWRG",56.47424,-132.39036,NA
"2008","Pelican","USPEC",57.95772,-136.22676,NA
"2009","Cordova","USCDV",60.55032,-145.76159,"USA"
"2010","Portland","USPWM",43.65736,-70.24862,"USA"
"2011","Lockeport","CALCP",43.70012,-65.11196,NA
"2012","Weymouth","CAWEY",44.43764,-66.00298,"CAN"
"2013","Massena","USMSS",44.95593,-74.92478,"USA"
"2014","Iona","CAION",45.96256,-60.80501,NA
"2015","Louisbourg","CALOU",45.91859,-59.97185,"CAN"
"2016","Warrenton","USWTO",46.16507,-123.9183,"USA"
"2017","Port Royal","USPRL",32.37253,-80.69207,"USA"
"2018","Port Alberni","CAPAB",49.23433,-124.81265,"CAN"
